dist_cbd,DenPop,DenViv,year
1,2661.101879,895.5233384,2000
2,7317.101639,1992.177718,2000
3,6264.650645,1660.989973,2000
4,5586.043849,1446.063489,2000
5,5500.172368,1383.843414,2000
6,4355.595021,1108.690084,2000
7,5804.268265,1413.544432,2000
8,8184.955832,1906.802097,2000
9,8105.82523,1909.514586,2000
10,9826.560552,2291.063154,2000
11,9257.35917,2123.975699,2000
12,6299.335032,1467.256732,2000
13,6749.716091,1549.500415,2000
14,4662.413827,1085.607673,2000
15,4292.407325,1009.819054,2000
16,3123.029545,740.3319409,2000
17,1812.094791,425.8886653,2000
18,1732.644624,402.5183724,2000
19,606.1535719,141.9305624,2000
20,158.962074,39.51519176,2000
21,194.0407451,44.81795899,2000
22,276.589113,61.90119695,2000
23,148.9263844,24.0228369,2000
24,32.09329936,8.718988845,2000
25,137.4430302,35.05834711,2000
26,208.51261,52.9555835,2000
27,468.151967,107.9167867,2000
28,483.6606748,121.6536845,2000
29,508.2535789,130.2747934,2000
30,470.9189394,121.3882265,2000
31,655.7530243,165.4036972,2000
32,2372.704576,595.1677015,2000
33,2686.389493,677.4095615,2000
34,2315.168649,580.0350946,2000
35,1460.851559,384.4648109,2000
36,855.4596824,228.122582,2000
37,613.1010897,168.6443377,2000
38,648.54929,176.8770791,2000
39,712.1064193,194.9597266,2000
40,710.9784885,195.4315254,2000
1,2121.814095,1171.534264,2016
2,5870.849586,2171.181916,2016
3,4971.383097,1874.454878,2016
4,4843.651832,1689.37,2016
5,4894.70257,1610.066266,2016
6,3587.472892,1186.933283,2016
7,4889.5603,1517.19831,2016
8,7410.502118,2134.970038,2016
9,7269.220269,2139.644324,2016
10,8804.409183,2517.911531,2016
11,8543.179296,2395.249425,2016
12,7064.672186,2038.702026,2016
13,7702.696899,2202.611011,2016
14,6339.950625,1933.205929,2016
15,6687.799374,2184.729085,2016
16,5419.377789,1764.490655,2016
17,4551.754974,1603.331098,2016
18,3517.696221,1292.461509,2016
19,2268.753926,872.3744297,2016
20,1314.579825,895.8041792,2016
21,1457.236908,971.3113939,2016
22,1357.981176,1058.787203,2016
23,1624.77241,973.1909702,2016
24,909.9285167,597.5290015,2016
25,450.3208912,480.7286412,2016
26,942.893077,774.4754088,2016
27,987.7461327,785.3322635,2016
28,1016.197664,749.3920673,2016
29,805.1800714,991.6117129,2016
30,1611.736652,1135.343135,2016
31,3960.683703,1985.77885,2016
32,3359.120922,1342.515029,2016
33,3165.905024,1189.041928,2016
34,3305.03022,1347.728602,2016
35,2522.897955,1116.539731,2016
36,1726.333053,820.4706107,2016
37,1307.339767,671.5312297,2016
38,850.281645,345.6617428,2016
39,783.8052233,334.0859165,2016
40,1039.499583,441.9974643,2016